timestamp,commit,branch,benchmark,estimate_ns
2026-04-10T09:43:16Z,34e7145,main,wav_decode_1sec_i16,1000000
2026-04-10T09:43:16Z,34e7145,main,pcm_i16_to_f64_4096,93000
2026-04-10T20:24:57Z,8cd32b4,main,wav_decode_1sec_i16,2011000
2026-04-10T20:24:57Z,8cd32b4,main,wav_encode_1sec_i16,1312000
2026-04-10T20:24:57Z,8cd32b4,main,pcm_i16_to_f64_4096,167343
2026-04-10T20:24:57Z,8cd32b4,main,pcm_i24_packed_4096,161496
2026-04-10T20:24:57Z,8cd32b4,main,pcm_u8_to_f64_4096,126777
2026-04-10T20:24:57Z,8cd32b4,main,fft_forward_1024,2458000
2026-04-10T20:24:57Z,8cd32b4,main,mdct_forward_2048,12340000
2026-04-11T14:33:51Z,ee0f3ee,main,wav_decode_1sec_i16,1994000
2026-04-11T14:33:51Z,ee0f3ee,main,wav_encode_1sec_i16,1306000
2026-04-11T14:33:51Z,ee0f3ee,main,pcm_i16_to_f64_4096,166136
2026-04-11T14:33:51Z,ee0f3ee,main,pcm_i24_packed_4096,160562
2026-04-11T14:33:51Z,ee0f3ee,main,pcm_u8_to_f64_4096,126492
2026-04-11T14:33:51Z,ee0f3ee,main,fft_forward_1024,2463000
2026-04-11T14:33:51Z,ee0f3ee,main,mdct_forward_2048,12367000
2026-04-11T14:33:51Z,ee0f3ee,main,flac_encode_1sec_i16,20720000
2026-04-11T14:33:51Z,ee0f3ee,main,flac_decode_1sec_i16,7971000
2026-04-15T17:21:25Z,ac67418,main,wav_decode_1sec_i16,816000
2026-04-15T17:21:25Z,ac67418,main,wav_encode_1sec_i16,783000
2026-04-15T17:21:25Z,ac67418,main,pcm_i16_to_f64_4096,72000
2026-04-15T17:21:25Z,ac67418,main,pcm_i24_packed_4096,70000
2026-04-15T17:21:25Z,ac67418,main,pcm_u8_to_f64_4096,73000
2026-04-15T17:21:25Z,ac67418,main,fft_forward_1024,1000000
2026-04-15T17:21:25Z,ac67418,main,mdct_forward_2048,7000000
2026-04-15T17:21:25Z,ac67418,main,flac_encode_1sec_i16,12000000
2026-04-15T17:21:25Z,ac67418,main,flac_decode_1sec_i16,4000000
2026-04-15T17:28:17Z,8461fa8,main,wav_decode_1sec_i16,794000
2026-04-15T17:28:17Z,8461fa8,main,wav_encode_1sec_i16,808000
2026-04-15T17:28:17Z,8461fa8,main,pcm_i16_to_f64_4096,73000
2026-04-15T17:28:17Z,8461fa8,main,pcm_i24_packed_4096,68000
2026-04-15T17:28:17Z,8461fa8,main,pcm_u8_to_f64_4096,51000
2026-04-15T17:28:17Z,8461fa8,main,fft_forward_1024,1000000
2026-04-15T17:28:17Z,8461fa8,main,mdct_forward_2048,7000000
2026-04-15T17:28:17Z,8461fa8,main,flac_encode_1sec_i16,12000000
2026-04-15T17:28:17Z,8461fa8,main,flac_decode_1sec_i16,4000000
2026-04-15T17:44:04Z,8ac5f25,main,wav_decode_1sec_i16,766000
2026-04-15T17:44:04Z,8ac5f25,main,wav_encode_1sec_i16,735000
2026-04-15T17:44:04Z,8ac5f25,main,pcm_i16_to_f64_4096,71000
2026-04-15T17:44:04Z,8ac5f25,main,pcm_i24_packed_4096,68000
2026-04-15T17:44:04Z,8ac5f25,main,pcm_u8_to_f64_4096,52000
2026-04-15T17:44:04Z,8ac5f25,main,fft_forward_1024,1000000
2026-04-15T17:44:04Z,8ac5f25,main,mdct_forward_2048,1000000
2026-04-15T17:44:04Z,8ac5f25,main,flac_encode_1sec_i16,12000000
2026-04-15T17:44:04Z,8ac5f25,main,flac_decode_1sec_i16,4000000
2026-04-15T18:23:28Z,e559930,main,wav_decode_1sec_i16,761000
2026-04-15T18:23:28Z,e559930,main,wav_encode_1sec_i16,741000
2026-04-15T18:23:28Z,e559930,main,pcm_i16_to_f64_4096,70000
2026-04-15T18:23:28Z,e559930,main,pcm_i24_packed_4096,68000
2026-04-15T18:23:28Z,e559930,main,pcm_u8_to_f64_4096,50000
2026-04-15T18:23:28Z,e559930,main,fft_forward_1024,1000000
2026-04-15T18:23:28Z,e559930,main,mdct_forward_2048,1000000
2026-04-15T18:23:28Z,e559930,main,flac_encode_1sec_i16,11000000
2026-04-15T18:23:28Z,e559930,main,flac_decode_1sec_i16,4000000
2026-04-15T18:36:12Z,98a0b82,main,wav_decode_1sec_i16,745000
2026-04-15T18:36:12Z,98a0b82,main,wav_encode_1sec_i16,739000
2026-04-15T18:36:12Z,98a0b82,main,pcm_i16_to_f64_4096,71000
2026-04-15T18:36:12Z,98a0b82,main,pcm_i24_packed_4096,68000
2026-04-15T18:36:12Z,98a0b82,main,pcm_u8_to_f64_4096,51000
2026-04-15T18:36:12Z,98a0b82,main,fft_forward_1024,1000000
2026-04-15T18:36:12Z,98a0b82,main,mdct_forward_2048,1000000
2026-04-15T18:36:12Z,98a0b82,main,flac_encode_1sec_i16,11000000
2026-04-15T18:36:12Z,98a0b82,main,flac_decode_1sec_i16,4000000
